word,n_entries,n_senses_total,wn_senses
ab -,1,1,0
aback,1,1,2
abacus,1,1,2
abandoned,1,1,7
abase,1,1,1
abash,1,1,1
abattoir,1,1,1
abbess,1,1,1
abbot,1,1,1
abbreviate,1,1,2
abdomen,1,1,2
abduct,1,1,2
abed,1,1,1
abeyance,1,1,1
abhor,1,1,1
abiding,1,1,3
abilities,1,1,2
ability,1,1,2
abjure,1,1,1
ablative,1,1,3
ablaut,1,1,1
able - bodied,1,1,0
able seaman,1,1,0
ablution,1,1,1
ably,1,1,1
abnegation,1,1,2
abnormal,1,1,3
abo,1,1,1
aboard,1,1,4
abolish,1,1,1
abolition,1,1,1
abominable snowman,1,1,0
abominate,1,1,1
aborigine,1,1,2
abortionist,1,1,1
abortive,1,1,1
abound,1,1,2
abound in,1,1,0
about - face,1,1,0
about turn,1,1,0
aboveboard,1,1,2
above - mentioned,1,1,0
abrade,1,1,2
abrogate,1,1,1
abscess,1,1,1
abscond,1,1,1
absence of mind,1,1,0
absentee,1,1,1
absenteeism,1,1,1
absently,1,1,1
absent - minded,1,1,0
absolute zero,1,1,0
absolutism,1,1,4
absorbent,1,1,2
absorbing,1,1,10
abstain,1,1,2
abstinence,1,1,2
abstruse,1,1,1
abundance,1,1,3
abundant,1,1,1
abusive,1,1,2
abutment,1,1,2
abut on,1,1,0
abysmal,1,1,2
abyss,1,1,2
acacia,1,1,1
academician,1,1,3
accidence,1,1,1
accidental,1,1,2
accident - prone,1,1,0
acclivity,1,1,1
accompanist,1,1,1
accomplice,1,1,1
accomplish,1,1,2
accomplished fact,1,1,0
accordance,1,1,2
according as,1,1,0
accordion,1,1,1
accountancy,1,1,1
accountant,1,1,1
accrue,1,1,2
accumulate,1,1,2
accuracy,1,1,2
accusative,1,1,3
accuse,1,1,2
accused,1,1,3
accustom,1,1,1
acetate,1,1,2
acetic,1,1,1
acetic acid,1,1,0
acetylene,1,1,1
Achilles' heel,1,1,0
Achilles tendon,1,1,0
achoo,1,1,0
acidify,1,1,2
acidity,1,1,3
acid test,1,1,0
acidulated,1,1,1
ack - ack,1,1,0
acme,1,1,2
acne,1,1,1
acorn,1,1,1
acquiesce,1,1,1
acquiescent,1,1,1
acquired taste,1,1,0
acquisitive,1,1,1
acquittal,1,1,1
acre,1,1,3
acreage,1,1,1
acrimony,1,1,1
acrobat,1,1,1
acrobatic,1,1,1
acronym,1,1,1
across from,1,1,0
acrostic,1,1,2
acrylic fibre,1,1,0
actinism,1,1,1
actionable,1,1,1
action painting,1,1,0
action stations,1,1,0
active service,1,1,0
activist,1,1,2
actress,1,1,1
Acts,1,1,16
actuary,1,1,1
actuate,1,1,2
act as,1,1,0
act of God,1,1,0
act out,1,1,0
act up,1,1,0
act up to,1,1,0
acuity,1,1,2
acumen,1,1,2
acupuncture,1,1,1
AD,1,1,2
adage,1,1,1
adagio,1,1,4
Adam's apple,1,1,0
adapt,1,1,2
adaptable,1,1,1
adapter,1,1,2
ADC,1,1,0
addendum,1,1,1
adder,1,1,3
addictive,1,1,1
additional,1,1,1
additive,1,1,3
addressee,1,1,1
adduce,1,1,1
add to,1,1,0
adherent,1,1,2
adhere,1,1,6
adhere to,1,1,0
adieu,1,1,1
adipose,1,1,1
adj,1,1,0
adjacent,1,1,3
adjective,1,1,4
adjoin,1,1,3
adjure,1,1,2
adman,1,1,1
administer to,1,1,0
administrative,1,1,1
admirable,1,1,2
admiral,1,1,2
admirer,1,1,3
admit of,1,1,0
admittance,1,1,2
admitted,1,1,8
admittedly,1,1,1
admonish,1,1,3
admonition,1,1,2
admonitory,1,1,2
ad,1,1,2
ad -,1,1,0
ad hoc,1,1,0
ad infinitum,1,1,0
ad nauseam,1,1,0
adobe,1,1,2
adoptive,1,1,2
adroit,1,1,1
adulate,1,1,1
adulation,1,1,1
adult,1,1,4
adulterate,1,1,2
adulterer,1,1,3
adultery,1,1,1
adumbrate,1,1,2
adv,1,1,0
advanced level,1,1,0
advances,1,1,18
advantageous,1,1,2
advent,1,1,3
Adventist,1,1,1
adventitious,1,1,1
adventuress,1,1,3
adverb,1,1,2
adverbial,1,1,2
adversary,1,1,1
adverse,1,1,2
advertising,1,1,4
advert,1,1,4
advert to,1,1,0
advisable,1,1,1
advisedly,1,1,1
adviser,1,1,1
advocacy,1,1,1
adze,1,1,1
aegis,1,1,2
aeon,1,1,3
aerie,1,1,2
aero -,1,1,0
aerobatic,1,1,0
aerodrome,1,1,1
aerodynamic,1,1,2
aeronautical,1,1,1
aeronautics,1,1,1
aeroplane,1,1,1
aerosol,1,1,2
aerospace,1,1,1
aertex,1,1,1
aery,1,1,3
aesthete,1,1,1
aesthetics,1,1,2
aether,1,1,2
aetiology,1,1,2
affable,1,1,1
affecting,1,1,6
affection,1,1,1
affectionate,1,1,1
affiance,1,1,1
affidavit,1,1,1
affiliate,1,1,4
affiliation order,1,1,0
affirmative,1,1,4
afflict,1,1,2
affluent,1,1,3
afforest,1,1,1
affray,1,1,2
affricate,1,1,1
aficionado,1,1,2
afield,1,1,3
afire,1,1,1
aflame,1,1,2
aforesaid,1,1,1
aforethought,1,1,1
afresh,1,1,1
Afrikaans,1,1,2
Afrikaner,1,1,2
Afro,1,1,1
aft,1,1,2
after -,1,1,0
afterbirth,1,1,1
aftercare,1,1,1
aftereffect,1,1,2
aftermath,1,1,2
afternoons,1,1,2
afters,1,1,1
aftershave,1,1,0
aftertaste,1,1,1
afterwards,1,1,1
agar - agar,1,1,0
agate,1,1,1
agenda,1,1,2
agent provocateur,1,1,0
age group,1,1,0
age of consent,1,1,0
agglutinative,1,1,2
aggrandizement,1,1,1
aggressor,1,1,2
aggro,1,1,1
aghast,1,1,1
agile,1,1,2
aging,1,1,6
aglow,1,1,1
Agnus Dei,1,1,0
ago,1,1,2
agog,1,1,1
agonize,1,1,2
agonized,1,1,3
agonizing,1,1,3
agony column,1,1,0
agoraphobia,1,1,1
agoraphobic,1,1,1
