word,n_entries,n_senses_total,wn_senses
cavalier,2,4,3
cease,2,3,3
cement,2,4,8
censor,2,4,4
censure,2,3,3
cent,2,2,2
centigrade,2,2,1
central,2,6,3
centre,2,9,11
ceremonial,2,3,2
certain,3,11,7
chafe,2,4,8
chagrin,2,2,2
chain,2,5,12
chair,2,8,7
chalk,2,4,5
challenge,2,12,9
chamois,2,3,2
champ,2,4,3
champion,4,6,6
chance,3,13,9
change,2,23,20
channel,2,12,11
chant,2,4,3
chapel,2,7,2
chaperon,2,3,2
character,2,14,10
characteristic,2,2,5
charge,3,21,40
charm,2,8,8
chart,2,4,5
charter,2,5,5
chartreuse,2,2,3
chatter,2,5,8
chat,2,4,4
chauffeur,2,3,2
cheap,3,13,4
cheat,2,8,9
checker,2,2,5
checkmate,2,4,3
check,2,17,38
cheek,2,6,5
cheer,2,7,7
chemical,2,2,3
cherry,2,6,5
cherub,2,3,2
chestnut,2,6,7
chew,2,6,3
chicken,2,8,5
chief,2,8,4
chill,3,8,7
chime,2,8,2
chip,2,12,14
Chippendale,2,2,2
chirp,2,3,3
chisel,2,4,4
chloroform,2,2,2
chock,2,2,4
chocolate,2,5,3
choice,2,8,5
choke,2,6,16
chortle,2,2,2
chorus,2,8,7
Christ,2,4,2
Christian,2,5,3
chronicle,2,2,2
chuckle,2,2,2
chug,2,2,2
chum,2,2,3
church,3,9,5
churn,2,4,3
cinch,2,3,6
cinnamon,2,3,3
cipher,2,6,7
circle,2,9,11
circular,2,5,3
citrus,2,2,2
claim,2,11,11
clamber,2,2,2
clamour,2,4,3
clam,2,3,4
claret,2,2,3
clash,2,6,7
clasp,2,4,6
classic,2,5,5
class,2,12,9
clatter,2,3,2
claw,2,8,8
cleanly,2,2,4
clean,4,18,31
clear,4,31,45
clerk,2,5,3
click,2,6,11
climax,2,5,6
climb,2,8,9
climb down,2,2,0
clinch,2,8,11
cloak,2,3,5
clobber,2,5,3
clog,2,4,9
cloister,2,3,5
closet,3,5,5
clot,2,3,5
cloud,2,10,14
clout,2,5,5
clown,2,3,3
club,2,8,11
cluck,2,3,2
clue,2,3,3
clump,2,5,7
cluster,2,2,3
clutter,2,3,3
Co .,2,2,0
coach,2,9,7
coal,2,7,5
coast,2,8,5
coat,2,6,6
cocoon,2,2,3
code,2,6,5
cod,2,4,7
coed,2,2,0
cognate,2,3,5
coil,2,5,9
coin,2,7,3
cold,3,12,16
collapse,2,8,11
collar,2,8,12
collateral,2,5,5
collect,3,7,8
collective,2,7,4
colonial,2,6,4
coloured,2,5,10
colour,2,17,15
coma,2,3,3
combat,2,3,3
combine,2,4,10
comb,2,7,8
combustible,2,3,2
come,2,23,22
come across,2,2,0
come off,2,7,0
come on,2,5,0
come over,2,6,0
come through,2,3,0
come to,3,10,0
comfort,2,4,9
comic,2,6,3
coming,2,4,26
command,2,11,12
comment,2,2,6
commercial,2,4,4
commission,2,11,12
commonplace,2,4,4
common,2,9,10
commune,2,7,4
comparative,2,5,3
compare,2,4,5
compass,2,5,7
compere,2,2,2
complement,2,4,7
complete,2,8,10
complex,2,6,5
compliment,2,4,3
compost,2,3,2
comprehensive,2,3,3
compress,2,3,3
compromise,2,4,5
concentrate,2,4,11
concern,2,12,7
concertina,2,2,3
concomitant,2,2,2
concrete,3,4,5
condition,2,12,13
conditional,2,3,2
conduct,2,8,8
confederate,3,5,7
conflict,2,4,9
conjecture,2,3,4
conjugate,2,4,8
conk,2,3,5
conscript,2,2,2
consent,2,4,2
conservative,2,5,7
conserve,2,3,5
considering,3,3,9
console,2,4,5
consonant,2,5,4
constant,2,5,5
constituent,2,3,6
constitutional,2,4,5
construct,2,3,7
consummate,2,4,5
consumptive,2,2,3
contact,3,8,11
contemporary,2,5,4
contest,2,4,3
continent,2,2,4
continental,2,5,4
contingent,2,4,5
contour,3,5,4
contract,2,6,12
contrast,2,5,7
control,2,14,19
converse,3,4,4
convert,2,6,12
convertible,2,4,6
convict,2,2,3
convoy,2,5,4
coo,2,3,3
cook,2,4,7
cool,4,14,11
cooperative,2,3,5
coordinate,3,5,6
cope,2,2,3
copulative,2,3,2
copy,2,7,8
coral,2,4,5
cord,2,6,6
cordial,2,3,4
core,2,6,11
cork,2,3,7
corner,3,18,14
corporal,2,2,3
corral,2,4,4
correct,2,4,12
correlate,2,2,4
correspondent,2,5,3
corrupt,2,6,8
cosh,2,2,2
cos,2,2,6
cosmetic,2,3,3
cosmopolitan,2,5,4
cosmos,2,2,2
cost,3,9,5
cosy,2,2,2
couch,2,4,4
cough,2,6,2
could,2,5,0
council,2,3,3
counsel,2,6,3
countenance,2,3,4
counterattack,2,2,3
counterbalance,2,3,6
counterfeit,2,2,3
counterpoise,2,3,2
countersign,2,2,3
countersink,2,3,3
country,2,7,5
couple,2,5,9
course,2,18,13
court,2,16,14
court - martial,2,3,0
covenant,2,3,4
covert,2,3,4
cover,2,29,36
cow,2,5,4
co - star,2,3,0
cox,2,3,3
crack,3,27,24
crackle,2,4,6
cradle,2,5,10
craft,3,7,6
crane,2,3,6
crank,2,5,10
crate,2,4,3
crawl,2,7,8
crayon,2,2,2
craze,2,3,5
creak,2,2,2
cream,3,11,8
crease,2,7,7
credit,2,11,13
creep,2,7,8
creosote,2,2,3
crescendo,2,4,3
crescent,2,4,2
crew,3,6,5
crib,2,10,8
crick,2,2,3
criminal,2,5,4
crimson,2,2,5
crinkle,2,2,3
cripple,2,3,3
crisp,3,8,9
crisscross,4,5,6
croak,2,5,4
crochet,2,3,3
crook,3,5,4
crop,2,12,12
crossbreed,2,2,2
cross,5,30,16
cross - country,2,2,0
crouch,2,2,3
crowd,2,12,6
crown,2,19,16
crude,2,4,7
cruise,2,4,5
crumble,2,4,3
crunch,2,4,7
crusade,2,3,4
crush,2,9,12
cry,2,18,12
cube,2,4,7
cuckold,2,2,2
cuckoo,2,3,3
cuddle,2,2,3
cudgel,2,3,2
cull,2,5,3
cunning,2,5,5
cup,2,11,11
curb,2,5,8
cure,2,9,5
curl,2,7,8
current,2,7,4
curse,2,10,9
curtain,2,5,3
curtsy,2,2,3
curve,2,3,10
cushion,2,6,4
cuss,2,3,4
cutthroat,2,3,2
cutting,2,6,54
cut,2,48,70
cycle,2,5,11
cyclostyle,2,3,2
daily,2,3,5
dainty,2,3,5
damage,2,3,7
damnedest,2,2,2
damn,4,13,5
damp,3,4,6
dance,2,12,7
dandy,2,3,3
dare,2,6,4
daring,2,6,7
dark,2,10,16
darling,2,3,3
darn,3,3,3
dart,2,5,6
dash,2,13,12
daub,2,5,6
dawn,2,5,6
daydream,2,2,3
days,2,2,11
daze,2,2,4
dazzle,2,5,3
deadly,2,9,8
dead,3,17,21
dear,4,7,8
deathly,2,2,3
debate,2,3,6
debauch,2,2,2
debit,2,4,2
debut,2,4,5
decadent,2,2,2
decay,2,4,8
deceased,2,2,3
decimal,2,2,3
decline,2,6,11
decontrol,2,2,1
decoy,2,3,3
decrease,2,3,6
decree,2,5,3
deep,3,29,21
default,2,6,5
defeat,2,5,4
defect,2,2,5
defensive,2,3,3
defile,2,2,4
degenerate,3,7,3
delay,2,6,6
delegate,2,3,3
deliberate,2,4,4
delight,2,6,5
delinquent,2,4,4
deluge,2,4,6
demand,2,5,11
demob,2,2,1
demur,2,2,3
dent,2,3,4
dental,2,2,3
deposit,2,7,12
derelict,2,2,6
derivative,2,3,5
desert,2,4,4
design,2,9,14
designate,2,3,6
designing,2,2,9
desire,2,6,6
desolate,2,3,5
despair,2,3,3
detail,2,7,7
detour,2,2,2
devil,2,17,7
dial,2,4,6
dibble,2,3,3
dice,2,7,3
dicky,2,4,3
dictate,2,3,5
die,2,14,14
differential,2,3,5
diffuse,2,3,6
digest,2,3,10
digestive,2,2,2
dig,2,7,13
dilute,2,2,3
dim,2,6,10
diminutive,2,2,2
din,2,3,4
dip,2,9,23
directive,2,2,2
directly,2,4,4
direct,3,13,24
dirty,3,10,13
discard,2,3,4
discharge,2,8,20
discipline,2,8,7
discontent,3,4,3
discount,2,4,6
discredit,2,5,4
disdain,2,3,4
disgrace,2,6,4
disguise,2,4,4
disgust,2,2,3
dishonour,2,3,5
dish,2,6,8
dislike,2,4,3
dismay,2,3,4
disorder,2,4,5
dispatch,2,6,9
display,2,4,8
dispute,2,9,4
disquiet,2,2,3
disregard,2,3,5
disrelish,2,2,0
dissent,2,4,6
distance,2,8,8
distress,2,5,6
distrust,2,2,3
ditch,2,2,8
dither,2,2,3
dive,2,9,7
divide,2,10,8
divine,3,5,10
divorce,2,4,3
divvy,2,2,1
dizzy,2,5,3
docket,2,5,4
doctor,2,10,7
doctrinaire,2,2,2
document,2,2,6
documentary,2,3,3
dodge,2,5,6
dog,3,18,8
domestic,2,4,6
domicile,2,3,3
dominant,2,4,5
don,2,3,7
doom,2,4,4
dope,2,6,7
dormitory,2,3,2
dose,2,4,6
dot,2,9,8
double,5,27,21
doubt,2,8,4
dove,2,4,8
dovetail,2,4,2
dower,2,4,3
do,4,55,16
downhill,2,5,5
downright,2,3,3
downstage,2,2,3
downstairs,2,2,2
downtown,2,2,3
D,2,3,4
drab,2,4,5
draft,2,7,14
drag,2,14,17
drain,2,12,8
drape,2,4,7
draughtsman,2,3,1
drawl,2,2,2
drawn,2,3,38
draw,2,32,45
draw on,2,5,0
dread,3,5,3
dream,2,8,8
dress,3,22,21
dribble,2,6,7
drift,2,7,17
drink,2,8,10
drip,2,6,5
drip - dry,2,2,0
dripping,2,2,5
drivel,2,2,3
drive,2,24,34
drizzle,2,2,3
droop,2,3,4
dropkick,2,3,3
drop,2,26,32
drove,2,4,25
drowse,2,3,3
drudge,2,2,3
drug,2,5,3
drum,2,8,9
drunk,3,7,9
dry,2,19,19
dub,2,3,4
dubbin,2,2,1
duel,2,3,3
due,4,9,7
dug,2,3,9
dull,2,12,19
dump,2,6,10
dupe,2,2,2
duplicate,3,5,8
dust,2,15,7
Dutch,2,3,3
dwarf,2,4,5
dye,2,3,2
dynamic,2,3,4
dynamite,2,3,2
dyspeptic,2,2,3
each,3,3,2
early,2,5,9
earmark,2,3,3
earth,2,12,9
ease,2,13,9
east,2,6,7
easy,2,18,15
ebb,2,4,5
ebony,2,2,4
eccentric,2,5,4
echo,2,5,9
eclectic,2,2,2
eclipse,2,5,3
economy,2,6,4
eddy,2,2,3
edge,2,12,10
editorial,2,2,3
effect,2,8,8
either,4,5,1
elaborate,2,2,6
elastic,2,3,4
elbow,2,8,7
elect,3,5,5
elective,2,4,3
elegiac,2,3,2
Elizabethan,2,2,2
embargo,2,3,3
embrace,2,5,6
emerald,2,2,3
employ,2,5,3
empty,3,10,10
emulsion,2,4,2
enamel,2,4,5
encore,2,3,2
encounter,2,3,9
endeavour,2,2,3
end,3,27,18
enfilade,2,2,2
engineer,2,6,4
English,2,4,6
enough,3,13,3
entail,2,3,5
entrance,2,4,5
envy,2,3,4
epic,2,2,3
epidemic,2,2,2
equal,3,7,6
equivalent,2,2,3
erect,2,4,4
escape,2,9,15
escort,2,3,6
essential,2,4,6
esteem,2,3,5
estimate,2,5,7
even,4,10,14
evidence,2,6,6
evil,2,5,6
exact,2,5,4
except,3,5,2
excess,2,4,5
exchange,2,7,17
excise,2,2,4
exclusive,2,4,4
excuse,2,9,9
executive,2,4,4
exempt,2,2,4
exercise,2,7,10
exhaust,2,5,7
exhibit,2,5,6
exile,2,3,4
exit,3,5,6
expatriate,2,3,3
expedient,2,2,3
experience,2,3,8
experiment,2,2,5
exploit,2,3,4
explosive,2,4,4
export,2,4,4
express,4,12,13
exterior,2,3,3
extra,2,6,7
extract,2,5,10
extreme,2,8,6
eye,3,28,6
Fabian,2,3,3
face,2,23,22
facial,2,2,4
failing,2,2,14
fail,2,8,11
faint,3,8,8
fair,4,16,17
fake,3,5,8
fall,2,25,44
fall to,2,3,0
false,2,7,11
familiar,2,6,7
fanatic,2,2,2
fancy,3,14,6
fare,2,6,6
farm,2,3,4
far,2,18,10
farrow,2,2,2
fart,2,2,2
farther,2,3,9
fashion,2,9,5
fast,4,15,15
fat,2,10,9
father,2,6,9
fathom,2,2,4
fatigue,2,5,6
fatty,2,2,2
fault,2,11,8
favourite,2,4,5
favour,2,15,9
fear,2,15,8
feast,2,4,7
feather,2,10,7
feature,2,7,8
feed,2,8,13
feeling,2,7,19
feel,3,18,17
fee,2,3,3
feint,2,2,2
fellow,2,5,7
felt,2,2,17
female,2,6,5
fence,2,7,7
ferment,2,4,7
ferret,2,3,5
ferry,2,3,5
festoon,2,3,4
fete,2,2,3
fetter,2,3,2
feud,2,2,2
feudatory,2,2,3
fib,2,2,2
fiddle,2,9,8
fidget,2,4,2
field,2,14,21
fight,2,13,9
figure,2,15,18
filibuster,2,4,3
fillet,2,3,7
fill,2,9,11
film,2,5,7
filter,2,5,5
final,2,5,5
finance,2,2,5
find,2,15,18
fine,5,15,10
finger,2,19,7
fingerprint,2,3,4
finish,2,9,15
fireproof,2,2,2
fire,2,30,18
firm,4,9,14
first,2,17,16
fiscal,2,2,1
fish,2,10,6
fitting,2,3,15
fix,2,14,17
fizz,2,3,2
flail,2,3,3
flake,2,3,6
flame,2,5,4
flank,2,5,5
flannel,2,5,3
flap,2,7,11
flare,2,4,15
flash,3,17,19
flat out,2,3,0
flavour,2,3,4
flaw,2,2,4
fleck,2,3,3
fleece,2,2,6
fleet,2,3,7
flex,2,2,6
flicker,2,3,6
flick,2,4,12
flimsy,2,4,4
fling,2,12,7
flip,3,7,18
flirt,2,2,4
flit,2,3,3
float,2,12,16
floodlight,2,2,2
flood,2,9,10
floor,2,14,12
flop,3,5,9
flounder,2,4,4
flour,2,2,3
flourish,2,8,8
flow,2,10,14
flower,2,6,4
fluff,2,6,6
fluid,2,4,7
flurry,2,4,4
fluster,2,2,3
flute,2,2,4
flutter,2,12,9
flying,2,4,17
foal,2,3,2
foam,2,4,3
focus,2,8,12
fog,2,7,4
folk,2,4,4
following,3,6,30
follow,2,17,24
follow on,2,3,0
fool,3,15,7
footnote,2,2,2
foot,2,28,14
for,3,27,0
forage,2,4,4
foray,2,3,4
forbear,2,3,3
force,2,17,19
ford,2,2,9
fore,3,4,3
forearm,2,3,2
forecast,2,2,4
forfeit,3,3,5
fork,3,8,9
formula,2,7,7
form,2,20,23
forte,2,2,5
fossil,2,4,3
foul,3,17,16
founder,2,4,7
fox,2,6,10
fracture,2,3,9
fragment,2,4,4
frame,2,14,17
frank,2,3,6
fray,2,4,3
freak,2,6,3
freelance,2,2,4
free,3,28,22
freeze,2,15,14
freight,2,4,5
French,2,3,5
frequent,2,2,4
fresco,2,3,3
fricassee,2,2,2
friendly,2,7,5
fringe,2,7,8
frisk,2,3,3
frizz,2,2,2
frolic,2,2,2
front,4,29,13
frost,2,9,8
froth,2,4,4
frown,2,4,2
frowst,2,2,0
fruit,2,7,5
fry,2,4,6
fuchsia,2,2,1
fuck,3,6,2
fuddle,2,2,4
fudge,2,3,3
fuel,2,5,5
fugitive,2,3,3
full,3,20,13
full stop,2,3,0
fume,2,4,5
function,2,4,10
fund,2,4,9
fundamental,2,5,5
funk,2,4,4
funnel,2,5,4
funny,2,4,5
furrow,2,4,5
fur,2,8,3
further,3,11,11
fuss,2,9,6
gabble,2,2,2
gaff,2,3,3
gag,2,5,9
gage,3,4,3
gain,2,8,13
gallop,2,5,4
gamble,2,3,4
gambol,2,2,2
gangrene,2,2,3
gangway,2,3,3
garage,2,3,3
garb,2,2,2
garden,2,4,4
gargle,2,3,4
garland,2,2,5
garnish,2,2,4
garrison,2,5,4
garrotte,2,3,2
gash,2,2,4
gasp,2,5,2
gas,2,10,8
gather,2,8,11
gauge,2,7,11
gaze,2,2,2
gazette,2,2,2
gear,2,6,5
gel,2,3,4
general,2,8,10
genius,2,7,5
gesture,2,4,4
get across,2,2,0
get in,2,9,0
get off,3,10,0
get on,2,7,0
get over,2,5,0
get round,2,4,0
get through,2,6,0
ghost,2,6,7
giggle,2,4,2
ginger,2,3,6
girdle,2,5,5
given,2,5,47
give,2,27,45
glance,2,7,3
glare,2,6,6
glaze,2,7,7
gleam,2,5,5
glide,2,5,6
glimmer,2,3,3
glimpse,2,3,4
glint,2,2,4
glissade,2,3,2
glitter,2,4,3
glow,2,7,12
glue,2,4,3
glut,2,4,3
gobble,2,2,3
going,2,6,34
golf,2,2,2
good,2,42,27
goody,2,3,1
goof,2,3,3
goose,2,9,6
gossip,2,5,5
go,4,43,35
go about,2,5,0
go - ahead,2,2,0
go by,2,4,0
go off,2,9,0
go on,2,12,0
go over,2,7,0
go through,2,6,0
grab,2,4,8
grace,2,15,9
grade,2,6,13
graduate,2,8,6
graft,2,6,5
grand,2,7,10
grant,2,8,15
graph,2,2,3
grasp,2,8,6
grass,2,9,11
grate,2,3,8
grating,2,2,9
gravel,2,4,4
grease,2,4,3
great,2,9,7
green,2,9,14
grey,3,6,13
grill,2,5,4
grimace,2,2,2
grime,2,2,2
grin,2,5,2
grind,2,12,11
grip,2,10,10
grit,2,3,4
groan,2,5,2
groom,2,6,6
groove,2,4,5
grope,2,5,4
gross,4,10,10
grotesque,2,4,3
grouch,2,3,2
ground,3,25,30
group,2,5,5
grouse,3,4,4
growl,2,4,2
grown - up,2,2,0
grub,2,4,4
grudge,2,5,3
grumble,2,5,6
grunt,2,4,4
guarantee,2,7,7
guard,2,14,14
guess,2,9,6
guest,2,6,4
guffaw,2,2,2
guide,2,9,11
guillotine,2,6,3
gulp,2,4,4
gurgle,2,3,5
gush,2,5,5
gut,3,5,5
gutter,2,4,8
ha - ha,2,2,0
half,6,22,6
hallmark,2,3,2
hammer,2,10,10
hamper,2,3,4
hamstring,2,2,3
ham,2,5,5
handicap,2,4,6
handle,2,8,7
hand,2,54,16
hang,3,14,18
hang on,2,6,0
hang over,2,3,0
happen,2,4,5
harangue,2,2,2
harbour,2,4,6
hard,3,28,22
hare,2,6,3
harm,2,6,4
harness,2,6,6
harpoon,2,2,2
harrow,2,2,2
harvest,2,4,6
hash,2,6,3
hassle,2,3,3
hatch,2,8,8
hate,2,5,2
haul,2,7,4
haunt,2,4,4
have on,2,5,0
haw,3,3,3
hawk,2,4,6
hazard,2,5,6
hazel,2,3,5
headline,2,3,3
head,3,50,42
heap,2,7,6
heat,2,8,11
heave,3,9,14
heavy,3,14,30
hedge,2,5,7
heed,2,2,2
heel,2,17,11
hell,2,12,6
help,2,18,12
helter - skelter,2,2,0
her,2,1,0
herald,2,4,5
herd,2,5,6
here,2,13,7
hereafter,2,2,5
hex,2,2,3
hiccup,2,4,2
highlight,2,3,4
high,3,20,18
high - pressure,2,3,0
hijack,2,2,3
hike,2,4,5
hind,2,2,3
hinge,2,3,3
hint,2,5,6
hire,2,4,5
his,2,4,0
hiss,2,4,6
hitch,2,6,12
hit,2,21,24
hoard,2,4,3
hoax,2,2,2
hoe,2,3,2
hog,2,7,4
hoist,2,3,4
hold over,2,3,0
hole,2,8,10
holiday,2,3,3
holler,2,3,5
hollow,2,7,8
holy,2,4,2
home,5,17,17
hone,2,2,3
honeymoon,2,3,3
honk,2,3,5
honour,2,14,7
hoodoo,2,3,5
hook,2,14,20
hoop,2,5,5
hoot,2,6,5
hoover,2,2,5
hope,2,10,9
hopeful,2,3,3
hotfoot,2,2,3
hound,2,5,3
hour,2,14,4
house,3,21,14
how,4,10,0
however,2,4,4
howl,2,4,7
huddle,2,3,4
huff,2,2,3
