word,n_entries,n_senses_total,wn_senses
AA,2,1,3
abandon,2,5,7
abide,2,4,2
abode,2,3,4
aboriginal,2,2,5
about,3,17,8
above,3,15,4
abrasive,2,3,3
absent,2,4,4
abuse,2,6,7
academic,2,5,4
accent,2,6,7
acclaim,2,3,3
accord,2,6,6
account,2,14,14
ache,2,3,4
acid,2,6,5
acting,2,2,12
active,2,4,17
act,2,16,15
adamant,2,2,2
addict,2,2,3
adept,2,2,2
adhesive,2,2,2
ad - lib,2,2,0
advance,2,11,20
advantage,2,6,4
advocate,2,3,4
aerial,2,4,4
affix,2,3,4
affront,2,2,2
Afghan,2,3,6
African,2,2,2
after,4,15,3
age,2,10,8
agglomerate,3,3,4
aggregate,3,6,7
aid,2,4,6
aim,2,4,11
air,2,14,15
alarm,2,6,6
alcoholic,2,4,3
alert,3,7,7
alias,2,2,2
alien,2,3,7
alight,2,3,3
alike,2,2,3
alloy,2,3,4
all,5,34,3
allure,2,2,2
ally,2,3,3
along,2,10,5
alongside,2,2,1
alternate,2,4,10
alternative,2,4,4
alto,2,4,8
altogether,2,3,4
amateur,2,5,4
amble,2,4,2
ambush,2,4,3
amiss,2,5,4
anaesthetic,2,2,3
anchor,2,9,5
ancient,2,5,4
ancillary,2,2,1
anger,2,2,5
Anglo - American,2,2,0
animal,2,6,2
animate,2,5,7
annual,2,3,4
anon,2,3,2
another,2,8,1
answer,2,14,15
antecedent,2,3,5
antenatal,2,2,1
antenna,2,2,3
ante,2,3,2
anticipate,2,6,6
antiquarian,2,3,3
antique,2,6,7
any,3,15,2
anything,2,10,0
apart,2,10,8
ape,2,3,5
aphasic,2,2,3
apologetic,2,4,1
apparel,2,3,2
appeal,2,8,9
appliqu *31,2,2,0
apprentice,2,2,2
approach,2,9,14
appropriate,2,3,3
approximate,2,2,5
apropos,2,3,3
aquaplane,2,3,3
Arabic,2,2,2
arable,2,2,1
arch,3,6,8
arc,2,5,4
are,2,2,14
arithmetic,2,3,2
around,2,16,10
array,2,5,6
arrest,2,6,6
arsenic,2,3,2
article,2,5,5
articulate,2,6,7
art,2,5,4
ascendant,2,3,4
ascetic,2,2,3
aside,2,8,8
ask,2,3,7
aslant,2,2,3
asphalt,2,2,3
aspirate,2,3,4
assault,2,3,7
assay,2,3,6
assent,2,4,2
associate,2,4,9
assured,2,3,8
asterisk,2,2,2
as,4,26,10
astride,2,3,2
astringent,2,3,3
astro -,2,2,0
at,3,12,2
atrophy,2,3,3
attack,2,8,15
attempt,2,3,4
attendant,2,4,5
attention,2,5,6
attire,2,2,2
attributive,2,3,1
auction,2,3,3
audit,2,2,4
audition,2,4,3
augur,2,3,3
authoritarian,2,3,3
autograph,2,2,3
automatic,2,4,5
auxiliary,2,4,3
avail,2,3,4
avant - garde,2,2,0
average,3,7,12
awake,2,5,3
award,2,5,5
away,2,12,14
awe,2,2,3
axe,2,4,3
baa,2,2,2
babble,2,9,5
baby,2,6,8
backfire,2,3,7
backhand,2,3,4
backspace,2,2,2
backstage,2,3,4
back,4,40,28
bad,2,31,17
badger,2,3,4
baffle,2,2,4
bag,2,10,14
bait,2,5,5
balance,2,14,16
balk,2,3,5
ballast,2,2,6
balloon,2,6,4
ballot,2,6,3
ban,2,3,9
bandage,2,2,3
bandy,2,4,4
bankrupt,3,7,3
banner,2,4,4
banquet,2,4,4
banter,2,2,2
barbecue,2,5,4
bare,2,7,13
bargain,2,11,4
barge,2,4,3
barricade,2,4,5
barter,2,2,2
bar,3,19,19
base,2,14,30
bash,2,3,3
bass,3,6,9
bastard,2,5,4
bastinado,2,2,3
bathe,2,6,4
bath,2,8,7
battle,2,4,4
bayonet,2,2,2
beach,2,3,2
bead,2,6,6
beard,2,4,6
bear,2,18,15
beastly,2,3,3
beat,3,20,34
beaut,2,2,1
bed,2,18,13
beef,3,5,4
before,3,12,2
beggar,2,5,3
behind,3,11,7
being,2,5,15
belch,2,4,3
bell,2,6,11
bellyache,2,3,2
beloved,2,3,2
below,3,9,5
belt,2,11,10
bend,2,6,12
beneath,2,5,1
benefit,2,5,5
bent,3,6,13
berth,2,5,6
besides,2,2,2
best,4,22,43
bet,2,7,5
between,2,11,2
bevel,2,3,3
beyond,3,8,3
bias,2,5,5
bicentennial,2,2,2
bicycle,2,2,2
bid,3,11,10
biff,2,2,2
bifurcate,2,2,3
big,2,9,17
bilingual,2,3,2
billet,2,3,4
billow,2,4,5
binding,2,4,16
bind,2,13,11
birch,2,4,5
bird,2,10,6
bisexual,2,4,3
bitch,2,3,6
bite,2,19,13
bitter,3,7,12
bivouac,2,2,3
biweekly,2,3,5
blackleg,2,2,2
blacklist,2,2,2
blackmail,2,2,3
black,3,17,22
blame,2,5,6
blanket,2,5,6
blank,2,6,8
blare,2,2,3
blast,3,10,16
blazon,2,2,2
bleach,2,2,5
bleat,2,4,3
bleep,2,3,2
blemish,2,2,4
blend,2,5,6
blight,2,4,3
blindfold,2,2,3
blind,3,15,10
blink,2,6,4
blister,2,4,6
blitz,2,3,3
blockade,2,5,6
block,2,13,28
blood,2,15,6
bloody,2,5,4
bloom,2,9,7
blossom,2,7,4
blot,2,7,4
blubber,2,3,4
bludgeon,2,2,3
blue,3,9,16
blunder,2,3,4
blunt,2,3,9
blur,2,2,7
blush,2,6,4
bluster,2,4,7
board,2,15,13
boast,2,5,3
boat,2,8,3
bode,2,3,1
bodily,2,2,4
bogey,2,5,4
bomb,2,5,5
bond,2,8,14
bone,3,12,6
boo,2,4,2
boob,2,3,3
book,2,14,15
boomerang,2,2,3
boost,2,8,8
bootleg,2,2,5
booze,2,3,2
borderline,2,3,2
border,2,5,10
born,2,10,16
bosom,2,6,8
botch,2,2,2
both,3,4,1
bother,2,8,8
bottle,2,7,5
bounce,2,7,10
bourgeois,2,6,5
bowwow,2,2,0
boycott,2,3,2
boy,2,8,4
brace,3,11,13
bracket,2,5,7
brag,2,3,3
braid,2,4,5
brain,2,6,7
branch,2,5,8
brand,2,9,10
brandy,2,3,1
brave,3,4,6
brawl,2,2,3
bray,2,2,4
breach,2,5,5
breakfast,2,2,3
break,2,40,75
break through,2,7,0
breast,2,7,7
breed,2,6,6
breeze,2,6,4
brew,2,7,3
bribe,2,3,2
bridle,2,4,5
brief,3,7,6
brilliant,2,5,6
brim,2,3,4
bring on,2,4,0
bring through,2,2,0
bring under,2,2,0
bristle,2,2,6
broadcast,3,7,5
broad,2,13,9
brocade,2,2,2
broil,2,4,4
broke,2,2,60
broken,2,9,72
bronze,2,4,6
brood,3,6,6
brook,2,2,2
brother,2,5,5
brown,2,2,8
browse,2,3,7
bruise,2,3,5
brute,2,4,3
B,2,3,7
bubble,2,6,9
bubbly,2,3,3
bucket,2,6,4
buckle,2,6,5
budget,2,6,3
buff,3,6,8
bug,2,9,7
bugger,2,6,2
build,2,3,12
build on,2,3,0
bulge,2,3,5
bulk,2,7,5
bump,3,8,8
bunch,2,4,5
bungle,2,2,3
bung,2,3,3
buoy,2,4,4
burlesque,2,3,4
burp,2,3,2
burrow,2,4,2
burst,2,4,12
bus,2,3,7
busy,2,6,6
butch,2,2,3
butcher,2,4,7
butter,2,5,3
but,5,19,1
buttonhole,2,3,2
button,2,6,9
buttress,2,3,3
buy,2,8,6
buzz,2,7,6
bye,2,2,2
bygone,2,2,2
bypass,2,3,4
by,2,22,2
cable,2,6,8
cache,2,3,4
cackle,2,6,6
caddie,2,2,2
cadge,2,2,2
cage,2,5,6
cake,2,10,4
calender,2,2,2
call,2,31,41
calm,3,5,8
camber,2,3,4
camouflage,2,2,5
campaign,2,3,7
camp,3,11,12
can,3,19,8
canary,2,4,5
candy,2,5,2
cane,2,6,4
canker,2,5,5
cannon,2,3,8
canoe,2,4,2
canter,2,3,4
canvass,2,3,20
cap,2,15,11
caparison,2,3,2
capitalist,2,5,4
captain,2,5,8
captive,2,6,5
capture,2,6,11
cardboard,2,3,2
cardinal,3,5,6
career,3,5,3
care,2,13,11
caress,2,2,2
caricature,2,4,2
carnation,2,3,3
carol,2,5,3
carouse,2,2,2
carp,2,3,3
carpet,2,7,5
carry,3,28,41
carry through,2,3,0
cart,2,7,4
cartwheel,2,2,4
cascade,2,3,5
cashier,2,2,4
cash,2,8,4
castle,2,4,5
cast,2,20,20
casual,2,7,9
catalogue,2,3,4
catapult,2,7,5
catch,2,22,39
cathartic,2,3,4
Catholic,2,2,3
caucus,2,3,2
causative,2,3,1
cause,2,7,7
caustic,2,3,3
caution,2,5,5
