"red"	"is_red"	"veale_simile"	"pos"	
"red"	"is_green"	"veale_simile"	"neg"	
"red"	"is_yellow"	"veale_simile"	"neg"	
"red"	"is_blue"	"veale_simile"	"neg"	
"red"	"is_black"	"veale_simile"	"neg"	
"red"	"is_red"	"cslb"	"pos"	
"red"	"is_green"	"cslb"	"neg"	
"red"	"is_yellow"	"cslb"	"neg"	
"red"	"is_blue"	"cslb"	"neg"	
"red"	"is_black"	"cslb"	"neg"	
"red"	"red"	"conceptnet"	"pos"	"HasProperty"
